canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,related_product_text,related_scheme_text,eligibility,application_procedure,required_documents,factory_requirements,infrastructure_requirements,process_controls,quality_control,testing,inspection,laboratory_testing,conformity_assessment,licence_or_coc_grant,surveillance,renewal,scope_extension,retesting,fees,forms,timelines,source_url
STANDARD,STD-00947,BIS_Standards_Intelligence,32,STD-2083,Flashlight,Scheme-I,Flashlight manufacturer covered by Flashlight QCO,Online application → assessment/testing → licence,Factory/product/model/QC/testing documents,Flashlight assembly/manufacturing facility,"Electrical, dimensional, illumination/performance testing","Assembly, electrical components, batteries, housing and finishing controls",Routine electrical/performance checks,"Construction, dimensions, electrical/safety and performance tests",BIS inspection,Appropriate electrical/product lab,Product + factory conformity,ISI Mark,Factory/market surveillance,Renewal,Model/scope extension,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01090,BIS_Standards_Intelligence,33,STD-302-P1,Household and Similar Electrical Appliances — General Requirements,Scheme-I,Manufacturer of covered household/commercial/similar electrical appliances,Manakonline → documentation → factory assessment/testing → licence,"Factory, appliance, component, technical, QC and testing documents",Appliance manufacturing facility,"Electrical safety, insulation, leakage, heating, dielectric, abnormal-operation facilities","Electrical construction, insulation, earthing and safety-process controls",Routine electrical safety checks,"Electric shock, heating, leakage, dielectric, abnormal operation, mechanical/electrical safety",BIS inspection,Competent electrical lab,Product + process + test conformity,ISI Mark,Factory + market surveillance,Renewal,Scope extension,Retesting,Scheme-I fees,Manakonline/BIS forms,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00558,BIS_Standards_Intelligence,34,STD-15844-P1,Sports Footwear — General Purpose,Scheme-I,Sports footwear manufacturer,Manakonline → factory/sample assessment → testing → licence,"Application, raw-material declaration, factory/product/model details, QC/SIT records",Footwear manufacturing facility,Upper/sole/chemical/physical test facilities,"Cutting, stitching, lasting, sole attachment, finishing",Routine footwear inspections,Physical + chemical performance tests; PM sample requirement,BIS inspection,Recognized/in-house footwear lab,Product/factory conformity,ISI Mark,Surveillance,Renewal,Model/variety scope change,Retesting,Scheme-I fees,Manakonline + PM/SIT forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00559,BIS_Standards_Intelligence,35,STD-15844-P2,Sports Footwear — Performance Sports Footwear,Scheme-I,Performance sports-footwear manufacturer,Same,Same,Footwear production,Physical/mechanical/performance equipment,Footwear construction/sole/upper controls,Routine QC,"Performance, bond, durability, material tests",BIS inspection,Suitable footwear laboratory,Product + process conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00560,BIS_Standards_Intelligence,36,STD-15844-P3,Sports Footwear — Professional Sports Footwear,Scheme-I,Professional sports-footwear manufacturer,Same,Product/factory/raw-material/QC documents,Sports-footwear manufacturing,"Chemical, slip, abrasion, durability and material testing","Construction, material and finishing controls",Routine SIT/QC,Professional footwear performance and chemical requirements,BIS inspection,Footwear lab,Product/factory/test conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00718,BIS_Standards_Intelligence,37,STD-17012,High Ankle Tactical Boots with PU-Rubber Sole,Scheme-I,High-ankle tactical boot manufacturer,Same,"Application, factory/model, material and QC documents",Tactical-footwear facility,Footwear physical/chemical/mechanical test equipment,"Material, construction, bonding, sole/upper controls",Routine footwear tests,"Innocuousness, dimensions, upper/sole/bond/performance tests",BIS inspection,Suitable footwear lab,Product + factory capability,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00722,BIS_Standards_Intelligence,38,STD-17037,Anti-Riot Shoes,Scheme-I,Anti-riot shoe manufacturer,Same,"Factory, product, raw-material/QC/testing documents",Footwear facility,Physical/mechanical/sole/upper test equipment,"Construction, sole/upper/bond/material controls",Routine testing,"Dimensions, material, upper/sole, bond and protective performance",BIS inspection,Footwear laboratory,Product conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00725,BIS_Standards_Intelligence,39,STD-17043-P1,Shoes for Services,Scheme-I,Services-footwear manufacturer,Same,Product/factory/raw-material/QC documents,Footwear manufacturing,Physical/mechanical/chemical testing facilities,"Construction, material and finishing controls",Routine QC,"Shape/design, upper/outsole, interlayer bond and performance tests",BIS inspection,Footwear laboratory,Product + factory conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00726,BIS_Standards_Intelligence,40,STD-17043-P2,Shoes for General Purpose,Scheme-I,General-purpose shoe manufacturer,Same,Factory/product/raw material/QC/test docs,Footwear facility,"Bond, abrasion, flexing, tear, fastening/component test equipment","Construction, upper/sole/component controls",SIT/QC,"Bond, abrasion, flexing, tear, strap/buckle/D-ring, Velcro, eyelet, heel pull-off, top-piece attachment etc.",BIS inspection,Footwear laboratory,Product + process + test conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00481,BIS_Standards_Intelligence,41,STD-15298-P2,Personal Protective Equipment — Safety Footwear,Scheme-I,Safety-footwear/PPE manufacturer,Same,"Factory, PPE/product, material, QC/testing documents",PPE footwear facility,"Impact/compression, penetration, slip, sole/upper/material testing",Safety-footwear construction and component controls,Routine PPE-footwear QC,"Innocuousness, impact/compression, penetration, sole and slip requirements",BIS inspection,PPE/footwear testing lab,Product + factory + test conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Product-specific,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01750,BIS_Standards_Intelligence,42,STD-IEC-60947-P2,Circuit Breakers,Scheme-X / Electrical Equipment Quality Control Order,Manufacturer of low-voltage circuit breakers falling within the applicable EEQCO/product category.,Apply through Manakonline with required Technical File → BIS scrutiny → factory assessment → testing/witnessing → resolution of deficiencies → grant.,Application; Technical File; drawings/specifications; product ratings/category; component details; manufacturing/process details; QC/test information; in-house test report; testing-equipment list; undertakings.,"Adequate manufacturing facilities, controlled production, process/QC system and testing capability.","Product-specific circuit-breaker test capability, electrical/thermal/mechanical and high-current/short-circuit facilities as required.","Product configuration, ratings, components, assembly, electrical connections, insulation, protection mechanisms, testing and traceability.",Documented QC and in-house testing; maintain test records and calibrated instruments.,"All prescribed IS/IEC 60947-2 tests; BIS current table identifies category/rating-specific requirements and, for specified higher-rating categories, EMC Annex-J/application-specific tests.",BIS factory assessment and witnessing/verification of testing capability.,BIS-approved/recognized third-party laboratory or witnessing/testing at manufacturer facility as permitted.,Technical File + manufacturing capability + testing/witnessing + product conformity.,BIS Certification Marks Licence under Scheme-X.,BIS surveillance during operation of licence; factory/testing verification.,Scheme-X licence renewal under applicable BIS guidance.,Change in scope through Scheme-X product-specific procedure; technical-file review and further assessment/testing where required.,Product-specific Scheme-X/BIS retesting/reassessment where permitted.,"Scheme-X guidance lists application ₹2,000; certification grant/renewal ₹2,000; Technical File review ₹20,000 per Technical File; inspection/surveillance ₹20,000 per man-day.",Manakonline Scheme-X application; Technical File; testing-equipment list; in-house test report; applicable undertakings.,"Product/testing/site-specific; depends on Technical File completeness, assessment and testing duration.",https://www.bis.gov.in/scheme-x-certification/product-specific-information/
STANDARD,STD-01751,BIS_Standards_Intelligence,43,STD-IEC-60947-P3,Switches | Disconnectors | Switch-Disconnectors and Fuse-Combination Units,Scheme-X / EEQCO,"Manufacturer of covered low-voltage switches, disconnectors, switch-disconnectors and fuse-combination units.",Manakonline → Technical File → BIS scrutiny → factory assessment → testing/witnessing → licence.,Technical File; drawings; product/category/utilization category; ratings; manufacturing information; QC/testing details; in-house test report; equipment list; undertakings.,Adequate manufacturing infrastructure and controlled production process.,"Electrical/mechanical endurance, dielectric, temperature-rise and product-specific testing facilities.","Contact/switch construction, mechanical assembly, ratings, insulation, terminals, switching performance and traceability.",Routine quality/test controls under applicable Scheme-X/product guideline.,"BIS current product-specific framework refers to all tests of IS/IEC 60947 Part 3:2020 for applicable categories, with product-specific exceptions/requirements.",BIS factory assessment and test witnessing where applicable.,BIS-approved/recognized laboratory or permitted manufacturer-facility testing.,Technical File + factory + testing + product conformity.,Scheme-X BIS licence.,Scheme-X surveillance and continued compliance verification.,Scheme-X renewal procedure.,Scheme-X product-specific scope-change procedure.,BIS Scheme-X product-specific reassessment/retesting.,Scheme-X prescribed fees; Technical File review/site inspection fees apply.,Manakonline + Technical File + product-specific guidelines.,Product/site/testing dependent.,https://www.bis.gov.in/scheme-x-certification/product-specific-information/
STANDARD,STD-01752,BIS_Standards_Intelligence,44,STD-IEC-60947-P4,Contactors and Motor Starters,Scheme-X / EEQCO,Manufacturer of covered electromechanical contactors and motor starters.,Manakonline + Technical File → BIS scrutiny → factory assessment → testing → conformity decision.,"Technical File, drawings, ratings, utilization category, component information, production process, QC/test records, equipment list, in-house test report and declarations.",Controlled electromechanical switchgear manufacturing facility.,"Temperature-rise, dielectric, operating-performance, endurance and short-circuit coordination test facilities as applicable.","Coil/control circuit, contacts, enclosure, terminals, assembly, rated characteristics and traceability.",Routine electrical/mechanical QC and documentation.,"Applicable tests under IS/IEC 60947 Part 4-1, including electrical/mechanical performance and product-specific requirements.",BIS factory assessment/test witnessing.,Approved/recognized third-party laboratory or permitted manufacturer testing.,Technical File + factory + test conformity.,Scheme-X BIS Certification Marks Licence.,Continuing Scheme-X surveillance.,Scheme-X renewal.,Change/inclusion under product-specific Scheme-X procedure.,Scheme-X/BIS permitted retesting.,Scheme-X prescribed application/certification/Technical File/site-visit fees.,Manakonline Technical File and product-specific forms.,Product/testing dependent.,https://www.bis.gov.in/scheme-x-certification/product-specific-information/
STANDARD,STD-01753,BIS_Standards_Intelligence,45,STD-IEC-60947-P5,Electromechanical Control Circuit Devices,Scheme-X / EEQCO,Manufacturer of covered electromechanical control-circuit devices and switching elements.,Manakonline → Technical File → BIS scrutiny → assessment/testing → grant.,"Technical File, product ratings/specifications, drawings, manufacturing process, components, QC/test information, equipment list and test report.",Controlled electrical control-device manufacturing facility.,"Electrical characteristic, dielectric, temperature-rise, mechanical operation/endurance test capability.","Contact system, actuators, terminals, insulation, mechanical movement, electrical connection and rated-operation controls.",Routine inspection/testing and calibrated equipment.,Tests applicable to electromechanical control-circuit devices under IS/IEC 60947-5-1.,BIS factory assessment/witnessing.,BIS-approved/recognized laboratory or permitted manufacturer facility.,Technical File + factory + testing + standard conformity.,Scheme-X BIS licence.,Continuing Scheme-X surveillance.,Scheme-X renewal process.,Product/rating/category addition through CSoL/product-specific process.,Applicable Scheme-X/BIS retesting.,Scheme-X fee structure.,Manakonline + Technical File + product-specific application documents.,Product-specific.,https://www.bis.gov.in/scheme-x-certification/product-specific-information/
STANDARD,STD-01753,BIS_Standards_Intelligence,46,STD-IEC-60947-P5,Electrical Emergency Stop Devices,Scheme-X / EEQCO,Manufacturer of electromechanical control-circuit devices with mechanical latching function covered by IS/IEC 60947-5-5.,Manakonline → Technical File → BIS scrutiny → factory assessment → testing/witnessing → grant.,Technical File; product drawings/specifications; emergency-stop mechanism details; electrical/mechanical ratings; manufacturing process; QC/testing details; equipment list; in-house test report; undertakings.,Controlled manufacture of emergency-stop devices with appropriate mechanical/electrical testing.,"Mechanical latching/endurance, electrical, dielectric and functional test capability.","Mechanical latching mechanism, actuator, contact system, reset operation, enclosure, electrical connection and safety-critical assembly.","Functional, mechanical and electrical QC; traceability and calibrated test equipment.","Emergency-stop function, mechanical latching, endurance, dielectric/electrical characteristics and all applicable IS/IEC 60947-5-5 tests.",BIS factory assessment/testing verification.,Approved/recognized third-party laboratory or permitted manufacturer testing.,Technical File + manufacturing + functional/electrical testing + product conformity.,Scheme-X BIS Certification Marks Licence.,Continued Scheme-X surveillance.,Scheme-X renewal.,Product/model/rating inclusion through Scheme-X scope procedure.,Scheme-X/BIS permitted retesting/reassessment.,Scheme-X prescribed application/certification/Technical File/site-visit fees.,Manakonline + Technical File + product-specific guideline documents.,Product/testing/site dependent.,https://www.bis.gov.in/scheme-x-certification/product-specific-information/
